,symbol,trades,wins,losses,win_rate,total_pnl,avg_pnl,best,worst,max_dd
1,ONGC,17,10,7,58.8,327.1,19.24,143.65,-30.4,31.2
2,HCLTECH,23,11,12,47.8,270.9,11.78,95.4,-65.2,172.0
3,BAJFINANCE,23,10,13,43.5,217.8,9.47,106.5,-97.75,205.0
4,JSWSTEEL,24,11,13,45.8,192.8,8.03,70.4,-54.6,134.0
5,ADANIENT,16,8,8,50.0,183.2,11.45,97.6,-59.4,79.0
6,SUNPHARMA,22,13,9,59.1,169.4,7.7,81.8,-49.6,101.5
7,POWERGRID,20,9,11,45.0,142.5,7.12,93.6,-92.8,99.6
8,RELIANCE,34,14,20,41.2,90.0,2.65,76.5,-64.5,114.3
9,BHARTIARTL,31,15,16,48.4,-35.0,-1.13,62.6,-81.0,95.2
