symbol,date,entry_time,or_range_pct,volume_ratio,breakout_pct,minutes_after_open,spy_trend_pct,day_of_week,entry_price,hit_target,exit_reason,exit_price
AAPL,2026-03-31,12:20,0.006539094154932498,1.0533464879851604,0.005255345609178811,140,0.004006635990859776,1.0,250.58,1,TARGET,251.74
AAPL,2026-04-02,14:35,0.01628728414442702,1.4357561950643722,0.0007456828885400225,275,0.01129296742056259,3.0,254.99,0,EOD,255.11
AAPL,2026-04-06,10:20,0.013653321026114424,1.1000557448706958,0.006076689358101551,20,0.0037050590064952125,0.0,261.59,0,EOD,258.98
AAPL,2026-04-15,10:15,0.00956588551671152,1.0992929633385164,0.002112946600076878,15,0.000978051376463573,2.0,260.85,1,TARGET,264.57
AAPL,2026-04-22,10:10,0.008360582639714625,2.7233322938854916,0.0057595124851367845,10,0.0004935277362588099,2.0,270.67,1,TARGET,272.69
AAPL,2026-04-30,12:15,0.010407440212577479,1.5770385645392757,0.004982285208148888,135,0.0009515413570658243,3.0,272.31,0,EOD,274.27
AAPL,2026-05-05,10:20,0.012429459247089141,1.2171208147859631,0.003893135223944478,20,0.0005264835058259494,1.0,281.07,0,EOD,283.97
AAPL,2026-05-13,13:15,0.013781049376491432,1.8886543173127561,0.007327484790427235,195,0.005660505112058975,2.0,299.69,0,EOD,299.23
AAPL,2026-05-15,14:05,0.007298292601272203,1.0413093673910319,0.011148309340475341,245,0.0017659746562416543,4.0,302.03,0,EOD,300.11
AAPL,2026-05-21,11:15,0.008809845910185818,1.2273526109240986,3.299567756620881e-05,75,0.00036552181623742064,3.0,303.08,0,EOD,304.95
AAPL,2026-05-22,10:45,0.010066353778928673,1.6098955879090215,0.0021362680045315585,45,0.0001876072041166198,4.0,309.61,0,EOD,308.27
AAPL,2026-05-28,10:10,0.008296229860021062,1.0096788038692064,0.00019219065312791017,10,0.0005198267244251734,3.0,312.25,0,EOD,311.46
MSFT,2026-03-31,13:00,0.010267553986146878,1.544331736650407,0.001982887410023138,180,0.01205120981625807,1.0,368.88,0,EOD,371.96
MSFT,2026-04-02,10:35,0.009412148744593554,1.3985817900804862,0.007208726639645214,35,0.008941555026144127,3.0,370.26,0,EOD,372.26
MSFT,2026-04-13,10:00,0.009451089278086343,1.7594160177520122,0.007689021785561714,0,0.003410097431355269,0.0,377.44,1,TARGET,380.39
MSFT,2026-05-14,10:20,0.011563971694158832,1.0643148488013079,0.006805237073748036,20,0.003213834279106025,3.0,408.33,0,EOD,409.35
MSFT,2026-05-15,10:35,0.012791086883756434,1.001222679434858,0.008224549323387361,35,0.00039094095443526194,4.0,421.7,1,TARGET,427.6
MSFT,2026-05-28,10:05,0.02823435218763248,1.1675165047845908,0.0023312767861346775,5,6.664445184932293e-05,3.0,425.65,0,EOD,426.03
META,2026-04-02,10:35,0.017052738799810195,1.514004416221736,0.010835777383607722,35,0.008941555026144127,3.0,575.58,0,EOD,573.79
META,2026-04-13,10:00,0.00951776649746193,1.0589278336570427,0.0031725888324873096,0,0.003410097431355269,0.0,632.4,0,EOD,633.96
META,2026-04-15,10:00,0.010841399851079632,1.0058456101651043,0.0008488458674609829,0,0.0006040905560509149,2.0,672.07,0,EOD,673.26
META,2026-04-17,15:40,0.01840678113959198,1.9869120568592757,0.0020209657017403373,340,0.005494583303830625,4.0,689.18,0,EOD,689.49
META,2026-04-24,12:05,0.017476370084301314,1.2741164898900386,0.01377973462364939,125,0.004333450580372903,4.0,674.64,0,EOD,676.26
META,2026-04-29,10:15,0.009238805970149335,1.0952958415823606,0.0019552238805969333,15,0.0001828410689170119,2.0,671.31,0,EOD,671.34
META,2026-05-04,10:40,0.007100591715976227,1.1060536515707875,0.0025312294543065046,40,0.002388656658380315,0.0,609.94,0,EOD,612.19
META,2026-05-06,10:05,0.012188676752328723,1.0040351087854797,0.00528506309044053,5,0.0016891659914580637,2.0,608.68,1,TARGET,616.55
META,2026-05-14,10:00,0.0071998191973655055,1.5487615021354224,0.004891356988344643,0,0.0010354194120969016,3.0,622.49,0,EOD,617.84
META,2026-05-20,11:15,0.006172020175205779,1.5536226817032417,0.007316830368993841,75,0.004213674051923215,2.0,607.13,0,EOD,604.11
META,2026-05-27,10:20,0.007593781572857883,1.5742820083548945,0.0008310790991754244,20,0.0004661073378612635,2.0,614.17,1,TARGET,620.88
GOOGL,2026-03-31,10:20,0.010675521279634424,1.1604264561139024,0.007069408740359963,20,0.0047422293173067466,1.0,282.06,1,TARGET,284.69
GOOGL,2026-04-02,10:35,0.014839522140158653,1.3430881926078302,0.013580204894319488,35,0.008941555026144127,3.0,297.8,0,EOD,295.18
GOOGL,2026-04-13,10:05,0.010910801065997684,1.2632960439972503,0.0027277002664994657,5,0.0028196043696486098,0.0,319.82,0,EOD,321.14
GOOGL,2026-04-15,14:30,0.009281437125748571,1.2422879568656484,0.006197604790419141,270,0.004660127146678954,2.0,336.07,0,EOD,336.38
GOOGL,2026-04-24,11:50,0.012280598421486677,3.2401998986021585,0.010307456708681823,110,0.0035596201195919417,4.0,343.06,0,EOD,344.82
GOOGL,2026-04-27,10:00,0.017824903281272304,1.0020483542061063,0.0015761570425562729,0,0.001290015003435468,0.0,349.5,0,EOD,351.24
GOOGL,2026-04-29,10:20,0.02112956432715279,1.567328809948615,0.0030713229439200346,20,5.625879043595446e-05,2.0,352.72,0,EOD,350.4
GOOGL,2026-05-21,14:45,0.008556287966912246,1.0221865096490137,0.00878893628021191,285,0.00656585484722545,3.0,390.25,0,EOD,388.47
GOOGL,2026-05-28,10:10,0.009846011465590334,1.1825843727690928,0.002982081801588648,10,0.0005198267244251734,3.0,390.15,0,EOD,391.01
TSLA,2026-03-31,12:40,0.01209567073504465,1.2269190371561374,0.0138197143013519,160,0.009312298494381211,1.0,370.47,1,TARGET,372.4
TSLA,2026-04-01,10:50,0.013345993564382557,1.0248124970142836,0.004773962124808784,50,0.0035327583042761043,2.0,380.95,0,EOD,380.73
TSLA,2026-04-15,10:10,0.02430490135386099,1.3100717755517273,0.01173525691061291,10,0.0002732790610707571,2.0,375.89,1,TARGET,388.1
TSLA,2026-04-17,10:35,0.018544042099987557,1.7273695473985484,0.003357975191078749,35,0.005650357572753677,4.0,400.39,0,EOD,400.93
TSLA,2026-05-01,10:25,0.022199277232834193,1.0282479180329833,0.0018069179143005822,25,0.00463084922010403,4.0,388.1,0,EOD,392.35
TSLA,2026-05-06,14:10,0.02045709621467207,1.1664957764753208,0.0215284154678094,250,0.005960146669047107,2.0,400.48,0,EOD,399.51
TSLA,2026-05-11,11:10,0.016560958421423563,1.2711545032576104,0.010101010101010128,70,0.004277218043070876,0.0,430.0,1,TARGET,436.81
TSLA,2026-05-13,10:35,0.02180536607548893,1.2372956347451793,0.013437926330149995,35,0.00027083756517019673,2.0,445.71,0,EOD,444.45
TSLA,2026-05-28,10:10,0.010567851959361321,1.2509603680346062,0.0013153120464442147,10,0.0005198267244251734,3.0,441.54,0,EOD,443.0
AMD,2026-03-31,10:15,0.020009955201592884,1.1599324769867854,0.0017919362867097322,15,0.003990985069020494,1.0,201.26,0,STOP,196.66
AMD,2026-04-02,10:35,0.03021221056702277,1.262745311678454,0.027456856963310326,35,0.008941555026144127,3.0,212.55,1,TARGET,216.26
AMD,2026-04-22,10:25,0.022712524334847616,1.3446448563254136,0.008162847091772212,25,0.001607490340957303,2.0,295.18,1,TARGET,303.1
AMD,2026-04-23,10:05,0.017253232935013855,1.0039383245650555,0.0004583401538712927,5,0.0006483439041579089,3.0,305.59,0,EOD,303.97
AMD,2026-04-29,10:35,0.025697436367525188,1.3643388051745504,0.011030647477617912,35,0.0012658227848100945,2.0,330.88,0,EOD,336.69
AMD,2026-05-28,10:35,0.02673754676117343,1.4077270157143562,0.0061035636936405254,35,0.002212595801399491,3.0,511.0,0,EOD,519.71
AVGO,2026-03-31,10:00,0.019456669203533953,1.5413755429731528,0.0017868369676715546,0,0.005775190158700255,1.0,302.75,0,EOD,309.36
AVGO,2026-04-02,10:35,0.021150290329905546,1.0666169705711985,0.015668083173841246,35,0.008941555026144127,3.0,313.1,0,EOD,313.26
AVGO,2026-04-17,10:00,0.010077250668515383,1.0287750237296043,0.00017331880756658706,0,0.0030871627841111146,4.0,403.95,0,EOD,405.52
